Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,136.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,119.3,yes,no,no,yes,female,yes,18,no,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Not Dropout
single,1st phase - general contingent,2,Basic Education,daytime,Secondary education,133.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,130.2,yes,no,no,yes,female,no,19,no,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
single,Short cycle diploma holders,1,Tourism,daytime,Professional higher technical course,110.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",111.8,yes,no,no,yes,female,yes,21,no,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Not Dropout
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,149.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",137.1,yes,no,no,yes,female,yes,18,no,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Not Dropout
single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary education,127.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,120.7,yes,no,no,yes,female,no,20,no,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
single,2nd phase - general contingent,2,Nursing,daytime,Secondary education,135.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,127.3,yes,no,no,yes,female,no,18,no,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Not Dropout
single,1st phase - general contingent,1,Equinculture,daytime,Secondary education,137.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",136.3,yes,no,no,yes,female,no,20,no,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Not Dropout
single,1st phase - general contingent,3,Animation and Multimedia Design,daytime,Secondary education,122.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,120.3,no,no,no,yes,female,yes,21,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Not Dropout
single,1st phase - general contingent,4,Nursing,daytime,Secondary education,142.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",125.5,yes,no,no,yes,female,no,18,no,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Not Dropout
single,1st phase - general contingent,4,Advertising and Marketing Management,daytime,Secondary education,125.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",114.9,yes,no,no,yes,female,yes,19,no,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Not Dropout
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,126.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",123.9,no,no,no,yes,female,no,19,no,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Not Dropout
single,2nd phase - general contingent,2,Social Service,daytime,Secondary education,115.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,116.4,yes,no,no,yes,female,no,21,no,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Not Dropout
single,1st phase - general contingent,1,Management,daytime,Secondary education,135.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,122.1,yes,no,no,yes,female,no,20,no,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Not Dropout
single,3rd phase - general contingent,1,Social Service (evening attendance),evening,Secondary education,138.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",134.5,yes,no,no,yes,female,no,19,no,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Not Dropout
single,1st phase - general contingent,1,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Higher Education - Bachelor's Degree,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,131.4,no,no,no,yes,male,no,34,no,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Not Dropout
single,Change of course,1,Management,daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",122.9,no,no,no,yes,female,no,55,no,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout
divorced,Over 23 years old,1,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,113.9,yes,no,no,yes,female,no,39,no,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Not Dropout
single,1st phase - general contingent,5,Journalism and Communication,daytime,Secondary education,126.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,121.1,no,no,yes,yes,female,no,18,no,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,2,Management,daytime,Secondary education,133.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction and Craftsmen",120.4,yes,no,no,yes,female,no,22,no,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Not Dropout
single,1st phase - general contingent,6,Nursing,daytime,Secondary education,103.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,100.6,yes,yes,no,yes,female,no,22,no,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Not Dropout
single,2nd phase - general contingent,1,Journalism and Communication,daytime,Secondary education,120.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",121.4,no,no,no,no,female,no,20,no,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
single,Over 23 years old,1,Management (evening attendance),evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,109.7,no,no,no,yes,female,no,29,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
single,2nd phase - general contingent,2,Social Service,daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,127.6,yes,no,no,yes,female,no,18,no,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Not Dropout
single,2nd phase - general contingent,6,Nursing,daytime,Secondary education,132.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",132.4,yes,no,no,yes,female,yes,22,no,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Not Dropout
single,Technological specialization diploma holders,1,Social Service (evening attendance),evening,Technological specialization course,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,133.4,no,no,no,yes,female,yes,21,no,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Not Dropout
single,1st phase - general contingent,1,Social Service,daytime,Secondary education,139.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,126.1,no,no,no,yes,female,yes,19,no,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Not Dropout
single,Over 23 years old,1,Tourism,daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",113.5,no,no,no,yes,female,yes,24,no,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Not Dropout
single,1st phase - general contingent,3,Equinculture,daytime,Secondary education,167.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Other Situation,Other Situation,159.3,no,no,no,yes,female,no,19,no,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Not Dropout
single,Over 23 years old,1,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120.0,no,no,no,yes,female,no,27,no,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",129.1,yes,no,no,yes,female,no,18,no,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Not Dropout
married,Holders of other higher courses,1,Tourism,daytime,Higher education - degree,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,Intermediate Level Technicians and Professions,130.0,no,no,no,yes,female,no,39,no,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
single,Over 23 years old,1,Equinculture,daytime,Higher education - degree (1st cycle),129.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,155.3,yes,no,no,yes,female,no,27,no,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
single,2nd phase - general contingent,1,Nursing,daytime,Secondary education,141.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,139.8,yes,no,no,yes,female,no,18,no,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Not Dropout
single,1st phase - general contingent,2,Nursing,daytime,Secondary education,125.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,114.9,no,no,no,yes,female,no,18,no,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Not Dropout
single,Technological specialization diploma holders,1,Social Service,daytime,Technological specialization course,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,131.9,no,no,no,yes,female,yes,21,no,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Not Dropout
divorced,Transfer,1,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",126.0,yes,no,no,yes,male,no,29,no,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout
single,1st phase - general contingent,3,Animation and Multimedia Design,daytime,Secondary education,139.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,128.2,yes,no,no,yes,male,yes,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Not Dropout
single,Technological specialization diploma holders,1,Agronomy,daytime,Technological specialization course,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,130.0,yes,no,no,yes,male,no,23,no,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Not Dropout
single,1st phase - general contingent,3,Management,daytime,Secondary education,125.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120.1,no,no,yes,yes,male,no,19,no,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
single,2nd phase - general contingent,1,Nursing,daytime,Secondary education,150.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Administrative staff,130.8,no,no,no,yes,male,no,24,no,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Not Dropout
single,1st phase - general contingent,1,Animation and Multimedia Design,daytime,Secondary education,141.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,135.8,yes,no,no,yes,male,no,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,2nd phase - general contingent,4,Tourism,daytime,Secondary education,118.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",111.7,yes,no,no,yes,male,no,18,no,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,2,Journalism and Communication,daytime,Secondary education,142.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,132.9,yes,no,no,yes,male,no,18,no,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,Not Dropout
single,2nd phase - general contingent,3,Management,daytime,Secondary education,120.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",115.5,yes,no,yes,yes,male,no,18,no,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout
single,3rd phase - general contingent,4,Tourism,daytime,Secondary education,106.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",106.0,yes,no,no,yes,male,yes,21,no,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,4,Journalism and Communication,daytime,Secondary education,121.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,120.3,yes,no,yes,yes,male,yes,19,no,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Not Dropout
single,2nd phase - general contingent,4,Nursing,daytime,Secondary education,150.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,130.8,no,no,no,yes,male,yes,22,no,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,Not Dropout
married,Over 23 years old,1,Social Service (evening attendance),evening,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",117.0,no,no,no,yes,male,no,33,no,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Not Dropout
single,1st phase - general contingent,6,Basic Education,daytime,Secondary education,114.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,110.2,yes,no,no,yes,male,no,20,no,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout
single,Over 23 years old,1,Management (evening attendance),evening,Higher education - bachelor's degree,140.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,155.7,yes,no,no,yes,male,no,35,no,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout
married,Over 23 years old,1,Social Service (evening attendance),evening,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",110.0,yes,no,no,yes,female,no,33,no,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Not Dropout
single,Transfer,1,Nursing,daytime,Secondary education,160.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",161.0,yes,no,no,yes,female,yes,22,no,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Not Dropout
single,Over 23 years old,1,Advertising and Marketing Management,daytime,Secondary education,120.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",100.0,no,no,no,yes,female,yes,25,no,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Not Dropout
single,2nd phase - general contingent,1,Communication Design,daytime,Secondary education,124.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Student,117.6,yes,no,no,yes,male,no,20,no,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Not Dropout
single,Over 23 years old,1,Nursing,daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Armed Forces Professions,100.8,no,no,no,yes,male,no,24,no,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout
single,2nd phase - general contingent,2,Journalism and Communication,daytime,Secondary education,133.1,Brazilian,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,105.0,yes,no,no,no,female,no,21,yes,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Not Dropout
single,International student (bachelor),1,Equinculture,daytime,Secondary education,133.1,Brazilian,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,100.0,no,no,no,yes,female,no,26,yes,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout
